name,avgscore
charles herman-wurmfeld,58.666666666666664
charles laughton,99.0
charles martin smith,61.0
charles nemes,36.0
charles oliver,22.0
charles robert carner,17.0
charles rogers,70.0
charles s. dutton,36.0
charles shyer,48.8
charles stone iii,56.333333333333336
charles sturridge,84.0
charles-olivier michaud,48.0
charlie kaufman,67.0
charlie mcdowell,66.0
charlie paul,56.0
charlie siskel,75.0
charlie stratton,47.0
charlotte zwerin,80.0
chatrichalerm yukol,58.0
chazz palminteri,29.0
cheri pugh,69.0
cherien dabis,64.5
cheryl dunye,48.5
cheryl hines,36.0
chi-leung law,65.0
chia-liang liu,74.0
chiemi karasawa,81.0
chih-yen yee,61.0
chloe zhao,63.0
chris bell,80.0
chris browne,28.0
chris buck,72.33333333333333
chris butler,72.0
chris carter,47.0
chris columbus,50.0
chris d'arienzo,28.0
chris dapkins,65.0
chris delaporte,40.0
chris dowling,41.0
chris eigeman,55.0
chris eska,71.5
chris evans,31.0
chris eyre,66.5
chris gorak,37.5
chris hegedus,67.0
chris james thompson,61.0
chris kentis,56.0
chris koch,30.5
chris lofing,30.0
chris lowell,42.0
chris marker,83.0
chris messina,56.0
chris metzler,69.0
chris miller,61.5
chris nahon,43.0
chris nelson,46.5
chris noonan,70.0
chris paine,66.5
chris renaud,67.0
chris roberts,21.0
chris robinson,63.0
chris rock,58.0
chris sanders,67.33333333333333
chris sheridan,72.0
chris sivertson,30.5
chris smith,73.4
chris stokes,37.0
chris sullivan,81.0
chris terrio,59.0
chris ver wiel,36.0
chris walas,36.0
chris wedge,58.666666666666664
chris weitz,54.0
chris williams,70.5
christian alvart,36.666666666666664
christian camargo,36.0
christian cantamessa,33.0
christian carion,74.0
christian charles,47.5
christian ditter,44.0
christian duguay,23.5
christian e. christiansen,23.0
christian petzold,82.0
christian schwochow,65.0
christian tureaud,61.0
christian vincent,61.0
christian volckman,57.0
christiane cegavske,73.0
christina andreef,56.0
christina clausen,61.0
christina voros,67.0
christina yao,54.0
christine cynn,89.0
christine fugate,69.0
christine jeffs,62.666666666666664
christine lahti,48.0
christoffer boe,61.5
christophe barratier,40.5
christophe gans,44.0
christophe honore,62.5
christophe van rompaey,68.0
christopher cain,37.5
christopher denham,44.0
christopher dillon quinn,72.0
christopher doyle,66.0
christopher erskin,29.0
christopher guest,74.5
christopher hampton,34.0
christopher kenneally,82.0
