name,avgscore
anders thomas jensen ,58.0
andras szeker,57.0
andre batista ,33.0
andre bijelic,61.0
andre dubus ,76.0
andre dubus iii ,71.0
andre fabrizio,26.333333333333332
andre nemec,52.0
andre p. brink ,68.0
andre sikojev ,28.0
andre techine,68.33333333333333
andre techine ,68.6
andrea allen-wiley,34.0
andrea arnold,74.66666666666667
andrea berloff,69.0
andrea blaugrund nevins,60.0
andrea di stefano,56.0
andrea di stefano ,56.0
andrea gibb,63.0
andrea gibb ,44.0
andrea nix,68.0
andrea pallaoro,64.0
andrea portes,28.0
andrea portes ,28.0
andrea seigel,63.0
andrea staka,64.0
andreas dalsgaard,50.0
andreas dresen,64.0
andreas pfluger,67.0
andreea valean ,64.0
andrei romanov,74.0
andrei tarkovsky,90.0
andrei ujica,87.0
andres heinz,79.0
andres wood,69.5
andrew adamson,62.666666666666664
andrew adamson ,66.5
andrew anastasios,50.0
andrew bergman,68.66666666666667
andrew bergman ,46.0
andrew birkin,55.0
andrew bovell,70.66666666666667
andrew bovell ,78.0
andrew bujalski,75.6
andrew bujalski ,63.0
andrew chapman ,58.0
andrew cockburn ,43.0
andrew currie,70.0
andrew davies,57.5
andrew davies ,49.0
andrew davis,68.0
andrew day,45.0
andrew deane,24.0
andrew deutschman,47.0
andrew dodge,57.0
andrew dominik,65.66666666666667
andrew droz palermo,47.0
andrew emerson,59.0
andrew erwin,32.0
andrew fleming,57.333333333333336
andrew gurland,51.5
andrew gurland ,35.0
andrew haigh,87.5
andrew hodges ,73.0
andrew horn,71.0
andrew j. smith,58.5
andrew jacobson,28.5
andrew jay cohen,68.0
andrew joiner,48.0
andrew kevin walker,42.333333333333336
andrew kevin walker ,65.0
andrew klavan,24.0
andrew klavan ,51.5
andrew knauer,37.5
andrew knight,50.0
andrew kurtzman,41.5
andrew lane,66.0
andrew lauren,42.0
andrew levitas,35.0
andrew lloyd webber,40.0
andrew lloyd webber ,40.0
andrew loo,36.0
andrew lowery,22.5
andrew matthews,63.0
andrew mcelfresh,41.0
andrew mcgahan,79.0
andrew mcgahan ,79.0
andrew mcgarry ,66.0
andrew mckenzie ,38.0
andrew miller,22.5
andrew mogel,46.0
andrew morgan,46.0
andrew motion ,81.0
andrew neel,49.0
andrew neiderman ,60.0
andrew niccol,58.875
andrew okpeaha maclean,59.0
andrew osborne,36.0
andrew panay ,53.0
andrew peterson ,53.0
andrew piddington,49.0
andrew rossi,66.5
andrew scheinman,42.0
andrew shaifer,38.0
andrew shea,70.0
andrew shue,52.0
andrew stanton ,83.25
andrew steele,37.0
andrew stern,59.0
andrew swant,61.0
andrew w. marlowe,39.333333333333336
andrew wagner,75.0
andrew wight,50.0
andrews jenkins,27.0
andrey konchalovskiy,35.0
andrey zvyagintsev,89.5
andrucha waddington,48.0
andrzej krakowski,34.0
andrzej mularczyk,81.0
andrzej wajda,81.0
andrzej zulawski,72.0
andy behrens ,49.0
andy bellin,55.5
andy bichlbaum,66.0
andy bichlbaum ,71.0
andy bienen,86.0
andy breckman,51.333333333333336
andy cochran,61.0
andy cohen,53.0
andy diggle ,44.0
andy gaskill,83.0
andy hamilton,54.0
andy hedden,31.5
andy heyward,36.0
andy lanning ,76.0
andy love,66.0
andy mcdonough,63.0
andy mitton,52.0
andy muschietti,57.0
andy paterson,59.0
andy riley,53.0
andy robin,54.0
andy stock,39.0
andy tennant,47.5
andy weiss,60.0
andy zeffer ,50.0
ang lee ,58.0
angel de la cruz,81.0
angel fernandez santos ,87.0
angel parra ,63.0
angela christlieb,67.0
angela ismailos,49.0
angela pell,54.0
angela robinson,42.0
angela shelton,75.0
angela sommer-bodenburg ,45.0
angela workman,42.0
angeles gonzalez sinde,43.0
angelina jolie,56.0
angelina maccarone,50.0
angelo carbone,61.0
angelo pizzo,61.5
angus maclachlan,66.66666666666667
angus mckie ,51.0
angus sampson,57.0
anik leray,70.0
anil mehta,57.0
anita hoffman ,36.0
anita loos,27.0
anita shreve ,45.0
anja marquardt,59.0
ann biderman,54.0
ann brashares ,64.5
ann druyan ,62.0
ann hu,66.0
ann peacock,55.4
ann tobin ,64.0
anna bean ,76.0
anna biller,58.0
anna boden,76.75
anna bonacci ,63.0
anna bruggemann,68.0
anna campion,57.0
anna hamilton phelan,44.0
anna laura braghetti ,69.0
anna leonowens ,56.0
anna maria monticelli,71.0
anna muylaert,65.0
anna quindlen ,63.0
anna reeves,51.0
anna telford,65.0
anna thomas,64.0
anna wohlin ,41.0
annabelle perrichon ,59.0
anne de mare,67.0
anne de salvo,29.0
anne devlin,73.0
anne fine ,53.0
anne fontaine,58.714285714285715
anne fontaine ,48.0
anne goursaud,34.0
anne holm ,47.0
anne karina westerik,50.0
anne kennedy,49.0
anne kugler ,76.0
anne meredith ,75.0
anne michaels ,60.0
anne rapp,67.0
anne rice,59.0
anne rice ,44.5
anne riitta ciccone,44.0
anne rosellini,90.0
anne sewitsky,60.0
anne spielberg,73.0
anne sundberg,78.0
anne troster ,62.0
anne tyler ,48.5
anne vince,43.0
anne wild,47.0
anne zogby ,42.0
anne-francoise pyszora,68.0
anne-francoise pyszora ,68.0
anne-louise trividic,74.0
anne-marie martin,68.0
anne-sophie birot,68.0
anne-sophie brasme ,78.0
annemarie jacir,57.5
annette curtis klause ,33.0
annette goliti gutierrez,34.0
annette haywood-carter,25.0
annette scheurich,83.0
annie m.g. schmidt,41.0
annie m.g. schmidt ,50.0
annie mumolo,75.0
annie proulx ,67.0
annmarie morais,63.0
anonymous ,59.0
anouk whissell,60.0
anouska chydzik,13.0
ant timpson ,43.0
ante tomic ,62.0
anthony abrams,27.0
anthony badalucco,26.0
anthony baxter,57.0
anthony berkeley ,83.0
anthony bruno ,60.0
anthony burgess ,78.0
anthony burns,51.0
anthony chen,85.0
anthony cipriano,65.0
anthony di pietro,41.0
anthony fingleton,58.0
anthony fingleton ,58.0
anthony gargano,49.0
anthony hines,71.5
anthony hopkins,47.0
anthony horowitz,42.0
anthony horowitz ,42.0
anthony jaswinski,50.0
anthony mccarten,72.0
anthony minghella,68.83333333333333
anthony minghella ,49.0
anthony peckham,56.333333333333336
anthony russo,61.0
anthony shaffer,61.333333333333336
anthony shaffer ,49.0
anthony silverston,40.0
anthony stacchi ,55.0
anthony swofford ,58.0
anthony tambakis,71.0
anthony waller,31.0
anthony walton,34.0
anthony weintraub,65.0
anthony yerkovich ,65.0
antjie krog ,44.0
antoine de baecque,59.0
antoine jaccoud ,61.5
antoine lacomblez,59.0
antoine lacomblez ,74.0
antoine lanciaux,44.0
antoinette terry bryant,66.0
anton chekhov ,69.5
antoni stutz,25.0
antonino d'ambrosio,53.0
antonio campos,64.5
antonio larreta,55.0
antonio macia,51.0
antonio macia ,30.0
antonio naharro,56.0
antonio prata,26.0
antonio santini,75.0
antonio serrano,51.0
antonio skarmeta ,81.0
antonio tentori,25.0
antonio trashorras,78.0
antony cordier,39.0
antwone fisher,62.5
anubhav sinha,60.0
anurag basu,62.0
anurag kashyap,75.0
anurag kashyap ,70.0
anusha rizvi,69.0
anya kochoff,31.0
aparna sen,50.0
apichatpong weerasethakul,78.25
appian ,60.0
april blair,43.0
arash amel,27.5
arata osada ,86.0
ari cohen,66.0
ari folman,91.0
ari folman ,63.0
ari gold,39.0
ari handel,59.5
ari schlossberg,35.0
ari shaffir,1.0
arianna huffington ,55.0
aric avelino,48.0
arie posin,46.0
ariel dorfman,72.0
ariel dorfman ,72.0
ariel vromen,60.0
arielle holmes ,75.0
arif aliev,74.0
arin crumley,72.0
aristomenis tsirbas,54.0
arjun sajnani,57.0
arkadiy strugatskiy ,90.0
arleen sorkin,44.0
arlene gibbs,56.0
arlene klasky,69.0
arlene klasky ,50.0
arlene sarner,74.0
arlette langmann,66.0
arlette langmann ,75.0
arliss howard,49.0
armando bo,73.0
armando iannucci,83.0
armando lao,76.0
armistead maupin,51.0
armistead maupin ,51.0
armyan bernstein,65.5
arnaldur indriðason ,63.0
arnaud des pallieres,51.0
arnaud desplechin,61.0
arnaud desplechin ,85.5
arne sultan,44.0
arne toonen,37.0
arnold bennett ,89.0
arnold perl,72.0
arnold schulman,60.0
aron gaudet,62.0
aron ralston ,82.0
aron warner ,58.0
art d'alessandro,37.0
art marcum,54.5
art monterastelli,43.0
arthur a. ross,54.0
arthur c. clarke,82.0
arthur c. clarke ,53.0
arthur conan doyle,48.0
arthur conan doyle ,59.333333333333336
arthur flam,32.0
arthur golden ,54.0
arthur hailey ,42.0
arthur kopit ,49.0
arthur laurents ,86.0
arthur miller ,52.0
arthur pielli,21.0
arthur rankin jr. ,29.0
arthur rimbaud ,46.5
arthur schnitzler ,68.0
arthur symons,46.0
artie lange,40.0
artur veeber ,73.0
arturo perez-reverte ,44.0
arty nelson,59.0
arvin chen,56.0
asger leth,64.0
asger leth ,79.0
asghar farhadi,84.0
ash baron-cohen,63.0
ash brannon ,76.0
ashim ahluwalia,52.0
ashley miller,49.0
ashley miller ,65.0
ashley scott meyers,25.0
ashutosh gowariker,76.5
asia argento,47.333333333333336
assi dayan ,21.0
astra taylor,64.0
athina rachel tsangari,73.0
athol fugard ,70.0
atiq rahimi ,64.0
atom egoyan,67.0
atsuko okatsuka,66.0
atul tiwari ,57.0
aude py,62.0
audrey brohy,30.0
audrey diwan,67.0
audrey niffenegger ,47.0
audrey wells,51.5
audrey wells ,52.0
august strindberg ,51.0
auguste le breton ,82.5
augusten burroughs ,52.0
aurian redson ,54.5
aurora guerrero,66.0
austin bunn,65.0
austin chick,34.5
austin phillips ,49.0
austin stark,39.0
ava duvernay,75.0
avery corman ,77.0
avery duff,45.0
avi korine,60.5
avi nesher,69.0
aviva kempner,75.0
axel hellstenius,70.0
axelle ropert ,64.0
ayad akhtar,61.0
ayhan ergursel ,59.0
ayn rand ,18.5
ayub khan-din,74.0
ayub khan-din ,74.0
azad jafarian,87.0
azazel jacobs,84.0
azazel jacobs ,72.0
azie faison jr. ,49.0
b. traven ,99.0
b.e. brauner,46.0
b.l. jurgens ,44.0
b.z. goldberg,80.0
babak payami,75.0
babaloo mandel,53.083333333333336
bahareh azimi,86.0
bahman farmanara,63.0
bahman ghobadi,78.4
baku yumemakura,53.0
bala rajasekharuni,31.0
baltasar kormakur,71.5
bam margera ,54.666666666666664
baoguang chen,37.0
bapsi sidhwa ,71.0
barbara albert,57.0
barbara alberti,73.0
barbara benedek,59.0
barbara curry,30.0
barbara herndon,62.0
barbara muschietti,57.0
barbara shulgasser,48.0
barbara turner,77.0
barbara wilson ,44.0
bari wood ,86.0
barney broomfield ,85.0
barney cohen,34.0
barra grant,46.0
barry avrich,68.0
barry battles,33.0
barry devlin,62.0
barry fanaro,43.0
barry gifford,54.5
barry gifford ,52.0
barry hines,92.0
barry jenkins,63.0
barry johnson,77.0
barry l. levy,36.0
barry levinson,57.333333333333336
barry levinson ,65.0
barry marder,54.0
barry michael cooper,61.0
barry morrow,65.0
barry o'brien,31.5
barry o'brien ,59.0
barry owen smoler ,56.0
barry shurchin,32.0
barry stringfellow,44.0
barry strugatz,71.0
barry w. blaustein,43.666666666666664
barry w. blaustein ,73.0
barry wernick,36.5
barry wong,54.0
bart baker,26.0
bart de pauw ,24.0
bart freundlich,46.666666666666664
bart gavigan,46.0
bas devos,77.0
bassam habib,60.0
bassel ghandour,80.0
bastian zach,50.0
batbayar davgadorj,81.0
baya kasmi,62.0
baya kasmi ,59.0
baz luhrmann,61.2
baz luhrmann ,72.0
bear aderhold,20.5
beatrix christian,65.0
beau bauman,39.0
beau thorne,31.0
beau willimon,67.0
beau willimon ,67.0
becky johnston,54.0
behnam behzadi ,72.0
bela tarr,86.0
belinda haas,57.0
belinda sallin,62.0
belle avery,43.0
ben affleck,72.0
ben best,47.0
ben bond ,46.0
ben coccio,68.5
ben court,54.0
ben edlund,48.0
ben elton ,46.0
ben falcone,39.0
ben hickernell,47.0
ben hopkins,47.0
ben karlin,50.0
ben knight,52.0
ben lewin ,79.0
ben livingston,44.0
ben mezrich ,71.5
ben pearson,48.0
ben queen ,57.0
ben ramsey,38.0
ben ripley,62.5
ben rivers,73.5
ben roberts ,50.0
ben russell,70.0
ben shapiro ,63.0
ben sherwood ,37.0
ben stambler,64.0
ben stein,20.0
ben steinbauer,71.0
ben stiller,66.0
ben stiller ,61.0
ben taylor,31.0
ben taylor ,53.0
ben templesmith ,53.0
ben wheatley,67.5
ben york jones,64.0
ben younger,60.5
ben zook,20.0
benedict fitzgerald,47.0
benedikt erlingsson,74.0
benedikt johannesson,57.0
benedikt roeskau,67.0
benh zeitlin,86.0
benito perez galdos ,75.0
benito zambrano,75.0
benjamin a. van der veen,64.0
benjamin avila,55.0
benjamin brand,47.0
benjamin chapin,29.0
benjamin dickinson,63.0
benjamin gray,77.0
benjamin hayes,62.0
benjamin heisenberg,65.0
benjamin legrand ,62.0
benjamin mee ,58.0
benjamin morgan,60.0
benjamin ruffner,43.0
benjamin statler,50.0
benjamin statler ,50.0
bennett davlin,32.0
bennett singer,42.0
bennett yellin,39.6
bennett yellin ,36.0
benoit chieux,44.0
benoit delepine,47.0
benoit graffin,47.0
benoit graffin ,64.5
benoit jacquot,56.0
benoit jacquot ,61.5
benson lee ,29.0
bent hamer,72.25
bent-jorgen perlmutt,69.0
berkeley breathed ,49.0
berkely mather,78.0
bernard jeanjean ,71.0
bernard malamud ,61.0
bernard minoret,63.0
bernard renucci,85.0
bernard rose,49.0
bernardo bertolucci,71.33333333333333
bernardo bertolucci ,80.0
bernd eichinger,71.33333333333333
bernd lange,70.0
bernd lichtenberg,68.0
berndt mader ,71.0
bernhard schlink ,46.0
bernie kukoff,54.0
bernie mac,76.0
bernie wrightson ,50.5
bero beyer,71.0
bert nijdam ,37.0
bert rijkelijkhuizen ,44.0
bert v. royal,72.0
bertha bay-sa pan,50.0
bertin akaffou,70.0
bertina henrichs ,70.0
bertrand bonello,52.0
bertrand bonello ,63.5
bertrand tavernier,75.75
beth raymer ,38.0
beth rigazio,38.0
bethany hamilton ,53.0
betsy giffen nowrasteh,50.0
betsy stahl,16.0
bettina gilois,59.0
betty comden ,99.0
betty jeffrey ,48.0
beverley cross,45.0
beverly cleary ,56.0
beverly d'onofrio ,43.0
bey logan,38.0
bhadwai ,69.0
bhargavi c. mandava,34.0
bianca olsen ,40.0
bibi naceri,70.0
bibi naceri ,40.0
bill bryden,64.0
bill bryson ,51.0
bill collage,47.75
bill condon,71.8
bill corbett,43.0
bill cosby,39.0
bill dubuque,48.0
bill engvall,70.0
bill ewing,45.0
bill forsyth,33.0
bill gallagher,44.0
bill gallagher ,44.0
bill granger ,38.0
bill gunn ,52.0
bill guttentag,58.0
bill hader ,94.0
bill haney,59.0
bill holderman,51.0
bill kauffman,34.0
bill kelly,50.666666666666664
bill kennedy,34.0
bill kerby,67.0
bill lancaster,68.33333333333333
bill mantlo ,76.0
bill martin,42.0
bill morrison,75.0
bill naughton ,49.0
bill norton,51.0
bill norton ,47.0
bill o'brien ,70.0
bill o'malley,18.0
bill peet,77.5
bill phillips,57.0
bill plympton,58.0
bill pryor,45.0
bill raden ,79.0
bill richmond,62.0
bill steinkellner,74.0
bill steinkellner ,74.0
bill walsh,62.5
bill walsh ,43.0
bill wolkoff ,47.0
bill wrubel,27.0
billie letts ,30.0
billy bob thornton,70.25
billy bob thornton ,84.0
billy crystal,43.5
billy frolick,57.0
billy hayes ,59.0
billy kent,48.0
billy kimball,81.0
billy mcmillin,75.0
billy morrissette,49.0
billy ray,61.77777777777778
billy roche ,67.0
billy shebar,49.0
billy wilder,81.75
billy wilder ,59.666666666666664
bima stagg,62.0
bin wang,82.33333333333333
bing wu,61.0
biyi bandele,51.0
bj porter,48.0
bjørn lomborg ,61.0
bjørn olaf johannessen,32.0
blair cobbs,46.0
blair erickson,62.0
blair richwood,28.0
blake clifton,26.0
blake edwards,49.0
blake edwards ,35.0
blake harjes,39.0
blake masters ,55.0
blake nelson ,83.0
blake t. evans,47.0
blayne weaver,46.0
blaze starr ,67.0
blutch,69.0
bo berkman,75.0
bo goldman,62.25
bo qu ,61.0
bo zenga,33.0
boaz davidson,28.0
boaz yakin,51.57142857142857
bob balaban ,90.0
bob barlen,35.0
bob brunner,28.0
bob buchholz ,20.0
bob burden ,65.0
bob byington,62.5
bob clark,40.25
